"facility","lon","lat","nox_kg"
"INEOS Aromatics Belgium",5.00127,51.11506,158000
"ELECTRABEL WKK COVESTRO",4.32097,51.296,124000
"ELECTRABEL SITE ARLANXEO",4.33641,51.23968,105000
"SLIB EN CO-VERWERKINGS CENTRALE",4.27777,51.28404,262000
"ELECTRABEL - CENTRALE DROGENBOS",4.30104,50.80405,186000
"BIOSTOOM OOSTENDE",2.9953,51.21008,145000
"CCB - Site de Gaurain-Ramecroix",3.4877694,50.600388,2380000
"UNILIN BV - SITE BOSPAN",3.35718,50.92323,193000
"UNILIN BV - SITE SPANO",3.29794,50.91368,143000
"STEP NORD (Aquiris)",4.41098,50.90335,123000
"BASF ANTWERPEN",4.27224,51.36175,1450000
"ARCELORMITTAL BELGIUM - GENT",3.81872,51.18184,5120000
"IVBO Blackbone-Noord",3.20768,51.25245,145000
"BOREALIS KALLO",4.271,51.26858,470000
"STORA ENSO LANGERBRUGGE",3.73374,51.10665,306000
"AGC GLASS EUROPE VESTIGING MOL",5.16206,51.19396,360000
"CL WARNETON",2.9348838,50.742428,107000
"EVONIK ANTWERPEN",4.30723,51.30411,531000
"TIENSE SUIKERRAFFINADERIJ",4.94797,50.80114,104000
"3B-FIBREGLASS",5.803042,50.65116,158000
"ALCO BIO FUEL",3.79426,51.14163,134000
"NLMK CLABECQ sa",4.2275567,50.674915,146000
"VPK Paper",4.06802,51.01564,186000
"ELECTRABEL CENTRALE RODENHUIZE",3.77472,51.13471,668000
"BRUXELLES ENERGIE",4.38037,50.8831,106000
"PEMCO Belgium",3.21792,51.23585,156000
"TotalEnergies Refinery Antwerp",4.32261,51.27011,3390000
"INTRADEL - UVELIA - Usine d'incinération",5.6436443,50.679726,170000
"INDAVER Site DOEL",4.27953,51.28445,337000
"INEOS PHENOL BELGIUM",4.27366,51.29118,150000
"INDAVER",4.35117,51.31527,149000
"INEOS",4.3192,51.23458,129000
"EUROCHEM ANTWERPEN",4.28761,51.34162,169000
"ZANDVLIET POWER - TERREIN BASF",4.2669,51.36912,439000
"LUMINUS - Centrale de Seraing",5.490941,50.603073,109000
"ISVAG INTERCOMMUNALE",4.37709,51.14667,124000
"VOPAK ENERGY PARK ANTWERP",4.2884,51.32542,123000
"UMICORE - HOBOKEN",4.33484,51.16771,122000
"TESSENDERLO GROUP HAM",5.1513,51.08563,216000
"ARGEX",4.32493,51.18676,108000
"A & S ENERGIE",3.30631,50.91097,104000
"LUMINUS",3.72598,51.10492,376000
"Aurubis Olen",4.88125,51.17791,255000
"APERAM GENK",5.50021,50.93828,461000
"Envalior",4.32097,51.296,1530000
"EXXONMOBIL PETROLEUM & CHEMICAL - ESSO RAFFINADERIJ",4.34517,51.25712,1080000
"AIR LIQUIDE LARGE INDUSTRY",4.28761,51.34162,173000
"IMERYS GRAPHITE & CARBON BELGIUM",4.34987,51.06962,106000
"T POWER",5.10484,51.05821,140000
"Electrabel - Centrale Knippegroen",3.81295,51.15711,225000
"LANXESS BELGIUM",4.30551,51.27968,115000
"ELECTRABEL CENTRALE HERDERSBRUG",3.2105,51.26208,222000
"TotalEnergies Olefins Antwerp",4.33203,51.2549,635000
"HEIDELBERG MATERIALS BENELUX s.a. - Site de Lixhe",5.6725326,50.76022,960000
"INEOS OXIDE UTILITIES",4.3192,51.23458,224000
"KNAUF INSULATION",5.701382,50.748352,146000
