"lon","lat","no2","campaign","code"
4.704003,50.82594,23,"facade","1387656"
4.444702,51.21328,47.3,"facade","192852"
4.188672,51.30897,21.2,"facade","192873"
3.991424,51.0962,26.6,"facade","192876"
4.461859,51.19922,25.6,"facade","192879"
4.552056,50.99603,18.3,"facade","192894"
4.746016,50.95687,30.7,"facade","192909"
4.765735,50.86095,20.3,"facade","192915"
3.231474,50.81039,32.3,"facade","192918"
3.116496,51.05936,20.4,"facade","192924"
4.477718,51.00839,31.5,"facade","192933"
4.903073,51.09316,16.2,"facade","192951"
4.64345,51.40756,19.5,"facade","192954"
4.492391,50.76417,20.4,"facade","192957"
4.715674,50.87731,31.8,"facade","192960"
3.989312,51.19047,17.3,"facade","192966"
4.625151,50.80954,14.7,"facade","192981"
4.721969,50.88952,21.1,"facade","192987"
5.080749,51.26467,18.9,"facade","192996"
4.150102,51.26094,19.3,"facade","193011"
4.406403,51.20558,32.4,"facade","193023"
2.695851,50.97233,20.9,"facade","193050"
3.66577,51.03088,19.1,"facade","193077"
4.696996,50.92477,22,"facade","193092"
4.478648,50.87322,26.7,"facade","193101"
4.715466,50.87238,24.2,"facade","193116"
3.372623,50.74802,18,"facade","193134"
4.590746,51.21462,20.8,"facade","193233"
4.411835,51.2098,35,"facade","193242"
2.666681,51.07369,23.9,"facade","193257"
4.422408,51.3185,30.1,"facade","193308"
4.729859,50.87451,21,"facade","193353"
4.388167,51.18662,43.6,"facade","193365"
3.026613,50.85104,17.3,"facade","193392"
4.611259,50.95544,16.8,"facade","193440"
3.700956,51.05893,28.6,"facade","193479"
3.571027,50.78884,17.3,"facade","193524"
4.10549854864958,51.0190729217068,22.9,"facade","193533"
3.114984,50.92971,19,"facade","193539"
4.346274,51.1808,29.5,"facade","193560"
4.627685,50.86827,16.4,"facade","193605"
4.689314,50.875,23.1,"facade","193611"
5.506891,50.96345,20,"facade","193617"
4.326741,51.20838,30.8,"facade","193623"
4.400616,51.22064,30.6,"facade","193644"
4.667387,50.89936,19.2,"facade","193647"
3.747452,51.02716,43.1,"facade","193677"
3.867354,51.01665,20.9,"facade","193686"
4.455155,51.19489,28.7,"facade","193695"
4.484284,50.85831,25.1,"facade","193701"
4.905931,50.76642,19.2,"facade","193755"
4.149631,50.81544,15.8,"facade","193764"
3.409609,50.84487,19.1,"facade","193779"
3.763333,51.01916,31.6,"facade","193797"
3.703455,51.07007,30.1,"facade","193836"
3.733142,51.05867,36.5,"facade","193863"
3.139928,50.91227,26.4,"facade","193896"
4.408476,51.30579,44,"facade","193935"
3.925148,51.11892,20.1,"facade","193938"
4.084685,50.7904,16,"facade","193941"
3.998742,50.94367,17.8,"facade","193950"
3.706006,51.08605,18.5,"facade","193977"
3.76857,51.06477,22.7,"facade","193983"
4.215946,50.93341,20.2,"facade","194007"
4.393379,51.13212,26.4,"facade","194082"
3.7009,51.05731,34.8,"facade","194091"
3.760916,51.01935,30.8,"facade","194094"
3.7189502246952,51.0348666061226,27.1,"facade","194115"
3.694946,51.14738,19.6,"facade","194127"
4.24511,50.89244,27,"facade","194157"
3.229149,51.15386,23.3,"facade","194232"
3.274053,50.82008,30.8,"facade","194238"
3.232525,51.14354,27.9,"facade","194253"
4.33282,51.05233,27.4,"facade","194265"
3.044035,51.2081,18,"facade","194268"
3.635575,51.03043,22.7,"facade","194301"
4.544549,50.88852,39.4,"facade","194304"
4.072749,50.92157,25.3,"facade","194343"
4.467096,50.87452,33.8,"facade","194376"
4.726776,50.83226,21.2,"facade","194382"
5.496503,50.95241,17.1,"facade","194388"
4.957843,51.30594,17.9,"facade","194424"
4.665056,50.88526,22.1,"facade","194430"
3.09636,51.12197,16.2,"facade","194448"
3.434121,50.77363,18.9,"facade","194460"
4.469606,51.15001,23.6,"facade","194475"
4.549262,51.02191,28.4,"facade","194481"
3.70494953603606,51.0584972752244,33.4,"facade","194508"
4.150921,51.15226,23.6,"facade","194514"
5.454163,50.80984,15.9,"facade","194517"
3.230155,51.21691,23.5,"facade","194520"
3.827975,51.09683,23.4,"facade","194532"
3.70465,50.99081,29.4,"facade","194535"
4.44918579119455,51.2955511206761,20.6,"facade","194565"
4.536551,50.7766,19,"facade","194580"
3.708852,51.06309,31.9,"facade","194583"
5.33029921076304,50.929102208246,24.3,"facade","194604"
4.406644,51.33047,17.2,"facade","194607"
5.323625,50.92686,20.2,"facade","194637"
4.428281,51.23135,44.4,"facade","194652"
3.54432,51.10063,19.9,"facade","194676"
4.025325,50.95957,17.2,"facade","194682"
4.430338,51.21837,34.4,"facade","194760"
4.529898,51.31843,16.5,"facade","194790"
4.755752,50.86542,17.7,"facade","194796"
4.186425,51.18544,33.9,"facade","194799"
3.060753,51.09105,16.6,"facade","194817"
4.234868,50.73429,25.6,"facade","194823"
5.281973,50.91621,17.5,"facade","194841"
4.432548,51.21418,33.6,"facade","194844"
3.71457598635043,51.0308337655201,23.7,"facade","194847"
4.570307,51.13285,28.2,"facade","194868"
3.75642,50.84922,16.6,"facade","194871"
4.435918,51.22848,41.1,"facade","194889"
5.081179,50.73648,16.1,"facade","194907"
4.503146,51.07557,21.8,"facade","194916"
4.713179,50.9124,19.4,"facade","194922"
4.470937,50.97948,24.2,"facade","194931"
4.038277,51.21143,21,"facade","194940"
3.228581,51.15261,22.7,"facade","194943"
4.108995,51.18392,24.2,"facade","194967"
3.552149,50.88923,17.5,"facade","194979"
5.358161,51.00532,22.2,"facade","194991"
3.997093,50.97514,15.5,"facade","194994"
4.936805,50.80377,19.3,"facade","194997"
4.180288,51.16122,22.1,"facade","195006"
3.95398,51.08414,20,"facade","195018"
4.71889,50.90233,39.8,"facade","195045"
4.595408,51.2124,19.6,"facade","195051"
4.825589,50.8479,15,"facade","195060"
4.05900173499934,50.9521911780573,23.4,"facade","195099"
4.412508,51.21715,30.3,"facade","195102"
4.639442,50.94266,17,"facade","195117"
4.983122,50.9742,17.4,"facade","195132"
4.556348,51.2605,18.5,"facade","195138"
4.867803,51.13629,17.2,"facade","195156"
3.608025,51.26931,21.6,"facade","195168"
4.747324,50.87854,19.6,"facade","195201"
5.172414,51.10496,15.5,"facade","195204"
3.300764,51.13989,16.9,"facade","195210"
4.018004,50.85045,18.3,"facade","195216"
3.88892030415273,51.0075422319926,35.1,"facade","195225"
4.42688,51.02395,22.4,"facade","195243"
3.068127,51.16893,17.4,"facade","195249"
2.73399486089373,51.0659939885896,22,"facade","195252"
3.765565,51.20552,19.1,"facade","195267"
4.033597,50.92425,25.7,"facade","195276"
4.511268,51.1823,21.8,"facade","195285"
4.548875,51.18379,21.3,"facade","195291"
4.729365,50.93562,26.6,"facade","195297"
4.836659,51.18401,35.4,"facade","195312"
4.866962,51.26936,34.2,"facade","195321"
3.787876,51.08185,32.6,"facade","195324"
4.201439,51.07971,20.2,"facade","195327"
5.212687,50.76047,15,"facade","195339"
4.552899,51.06033,20.1,"facade","195342"
4.416871,51.2238,45.8,"facade","195354"
4.4041655359888,51.2062912953846,44.4,"facade","195357"
